variant,season_or_regime,horizon,n_positive_total,model_brier_weighted,persistence_brier_weighted,global_climatology_brier_weighted,seasonal_or_regime_climatology_brier_weighted,bss_vs_persistence_weighted,bss_vs_global_climatology_weighted,bss_vs_seasonal_or_regime_climatology_weighted
A_p90_exclude_summer,autumn,28,31,0.2110457929424526,0.1589041095890411,0.0780542628379039,0.0784398955199688,-0.3281330073102619,-1.7038342976953542,-1.69054148457816
B_p85_all_seasons,winter,7,128,0.2269762278070309,0.3324675324675324,0.2571123901290652,0.2562155353763176,0.3172980647991648,0.1172100741893712,0.1141199635937036
B_p85_all_seasons,winter,14,119,0.2417704782328383,0.3605263157894737,0.2434882522447537,0.244781688993924,0.3293957538067258,0.0070548537602083,0.0123016177127549
B_p85_all_seasons,winter,21,112,0.2469235150659552,0.3216216216216216,0.2361781141342088,0.2378166498802807,0.2322546170218198,-0.0454970223262953,-0.0382936400384876
B_p85_all_seasons,winter,28,110,0.2454290787652497,0.3689839572192513,0.2298979854307301,0.2341422615994773,0.3348516271144679,-0.067556456858119,-0.0482049549221472
B_p85_all_seasons,spring,7,47,0.2391919418807408,0.1789709172259508,0.0953021895886193,0.0945773151609488,-0.3364849752586394,-1.509826300038171,-1.529062507998785
B_p85_all_seasons,spring,14,46,0.251147737392413,0.1936936936936936,0.0941065744918164,0.0958305155161655,-0.2966232023515274,-1.6687586786431483,-1.6207491010527555
B_p85_all_seasons,spring,21,48,0.2404009830015456,0.2008928571428571,0.0963095201786204,0.0960686982024789,-0.1966626709410273,-1.49612896581445,-1.502386183009008
B_p85_all_seasons,spring,28,51,0.2511273064124518,0.2170022371364653,0.1012899591042673,0.1040059687166774,-0.1572567625398553,-1.4792912212941336,-1.4145470640877114
B_p85_all_seasons,summer,7,31,0.1559562128323551,0.1305483028720626,0.0782211967099868,0.0750537099383164,-0.1946245902958405,-0.9937845416834904,-1.0779280992309277
B_p85_all_seasons,summer,14,31,0.1562644882587505,0.1399491094147582,0.0767616244861084,0.0729733525371692,-0.1165807979216175,-1.035711064023011,-1.141391108201542
B_p85_all_seasons,summer,21,31,0.1701289450774455,0.1347150259067357,0.0777793747914555,0.07549101917587,-0.2628802461518076,-1.1873272385333582,-1.2536315833953608
B_p85_all_seasons,summer,28,30,0.167411732534535,0.1173469387755102,0.0751343405751412,0.0725254181624019,-0.4266391120334287,-1.2281653269733286,-1.3083180597409276
B_p85_all_seasons,autumn,7,43,0.1941140816549231,0.1570247933884297,0.1052816049489749,0.1046480105784099,-0.2362002042234576,-0.8437606621688676,-0.854923763786972
B_p85_all_seasons,autumn,14,45,0.2053062644711902,0.1951219512195122,0.1076140571059739,0.1061624601497481,-0.0521946054148498,-0.9078015455640064,-0.9338875924841432
B_p85_all_seasons,autumn,21,44,0.2067992167607344,0.2206703910614525,0.1083762833363977,0.1091850718761951,0.0628592455652795,-0.9081593351825324,-0.894024642812195
B_p85_all_seasons,autumn,28,44,0.2115481655660535,0.2246575342465753,0.1067287523508771,0.1070234450975578,0.0583526776632981,-0.9821103583275896,-0.97665254910469
C_p90_grouped_cold_warm,cold,7,132,0.222182081385853,0.2219251336898395,0.1520790526573306,0.1520935777624946,-0.0011578125097475,-0.4609643965002907,-0.4608248727819846
C_p90_grouped_cold_warm,cold,14,126,0.2343767441263912,0.2296395193591455,0.1455108012921691,0.1456916215959971,-0.0206289613410872,-0.6107171566995186,-0.6087180687460392
C_p90_grouped_cold_warm,cold,21,120,0.2400270520425694,0.2142857142857142,0.1426622007915152,0.1429623235901869,-0.120126242865324,-0.6824852743814183,-0.6789532095926643
C_p90_grouped_cold_warm,cold,28,121,0.239183717383471,0.2422192151556157,0.141741181306322,0.1424928874047459,0.0125320271151668,-0.6874680680596452,-0.6785660094323045
C_p90_grouped_cold_warm,warm,7,43,0.1851463790289236,0.1012048192771084,0.0508882031819251,0.0490818386781944,-0.8294225546905547,-2.638296647398335,-2.7721972936433295
C_p90_grouped_cold_warm,warm,14,41,0.1903356488233651,0.1051373954599761,0.0486829035421636,0.0487626733194515,-0.8103515689222345,-2.909702071457549,-2.903306276430908
C_p90_grouped_cold_warm,warm,21,45,0.1887700516380964,0.1127098321342925,0.0526003954409879,0.0515796725602959,-0.6748321602784302,-2.5887572717942104,-2.659776075883901
C_p90_grouped_cold_warm,warm,28,44,0.188843798567023,0.1132300357568533,0.051375037430964,0.0504043265256136,-0.6677889157656038,-2.675789021483141,-2.7465791447696364
