variant,fold_id,station_id,season_or_regime,horizon,actual_event,model_brier,persistence_brier,global_climatology_brier,seasonal_or_regime_climatology_brier
A_p90_exclude_summer,96,Pista Silla,autumn,7,0,0.16068132981166056,0.0,0.009792153477127754,0.010819934163830345
A_p90_exclude_summer,96,Politecnico,autumn,7,0,0.07746901218233519,0.0,0.009501498656827919,0.012345679012345678
A_p90_exclude_summer,96,Valencia Centro,autumn,7,0,0.1438721157524628,0.0,0.010283673874231304,0.0054869684499314125
A_p90_exclude_summer,96,Viveros,autumn,7,0,0.14124264321891314,0.0,0.007989290803106456,0.0067265931353403426
A_p90_exclude_summer,97,Avda. Francia,autumn,7,0,0.24137637459181258,0.0,0.008841256181694596,0.0076409604381632345
A_p90_exclude_summer,97,Moli del Sol,autumn,7,0,0.4215705971494774,0.0,0.009534378340275406,0.005978318631097886
A_p90_exclude_summer,97,Pista Silla,autumn,7,0,0.11934373737496569,0.0,0.00975249196755672,0.010643078906390659
A_p90_exclude_summer,97,Valencia Centro,autumn,7,0,0.1506245680729848,0.0,0.009889808003418698,0.004648760330578512
A_p90_exclude_summer,97,Viveros,autumn,7,0,0.15017934678383218,0.0,0.007966668943378184,0.006647534940810018
A_p90_exclude_summer,98,Avda. Francia,autumn,7,0,0.17209452860624752,0.0,0.0087890625,0.007457321747638266
A_p90_exclude_summer,98,Bulevard Sud,autumn,7,0,0.09567651051742888,0.0,0.009404463182502881,0.007750357963607457
A_p90_exclude_summer,98,Moli del Sol,autumn,7,0,0.3061306469458109,0.0,0.009493135905446167,0.005871904405396279
A_p90_exclude_summer,98,Pista Silla,autumn,7,0,0.061062052480102186,0.0,0.009713070934545091,0.01047052460789616
A_p90_exclude_summer,98,Valencia Centro,autumn,7,0,0.08419385922131536,0.0,0.009518143961927425,0.003988919667590028
A_p90_exclude_summer,98,Viveros,autumn,7,0,0.08813297237405882,0.0,0.007940398000196058,0.006557049375371803
A_p90_exclude_summer,99,Avda. Francia,autumn,7,0,0.34222563250865984,0.0,0.008975069252077562,0.008180060338501322
A_p90_exclude_summer,99,Bulevard Sud,autumn,7,0,0.3290292000754686,0.0,0.009561482068504346,0.008338252290415226
A_p90_exclude_summer,99,Moli del Sol,autumn,7,0,0.32485833008737014,0.0,0.009481401498773318,0.005842021988721652
A_p90_exclude_summer,99,Pista Silla,autumn,7,0,0.13617567142396134,0.0,0.009673888437930867,0.01030213292997503
A_p90_exclude_summer,99,Politecnico,autumn,7,0,0.30157554944641407,0.0,0.009576298888112886,0.012634457063878373
A_p90_exclude_summer,99,Valencia Centro,autumn,7,0,0.25497714020326345,0.0,0.009683397464916253,0.00470972702806613
A_p90_exclude_summer,99,Viveros,autumn,7,0,0.1606578012565431,0.0,0.00791425678994922,0.006468398834204676
A_p90_exclude_summer,100,Avda. Francia,autumn,7,0,0.18111918238281965,0.0,0.008922396563648015,0.007988079021979304
A_p90_exclude_summer,100,Bulevard Sud,autumn,7,0,0.2218072865414862,0.0,0.009496585318877447,0.008119792295616471
A_p90_exclude_summer,100,Moli del Sol,autumn,7,0,0.24101203167556312,0.0,0.009440501955936903,0.005739210284664831
A_p90_exclude_summer,100,Pista Silla,autumn,7,0,0.07271882642823399,0.0,0.00963494255707917,0.01013777105184611
A_p90_exclude_summer,100,Politecnico,autumn,7,0,0.2147650751411367,0.0,0.009543002456234594,0.012464787623399635
A_p90_exclude_summer,100,Valencia Centro,autumn,7,0,0.11125376086351091,0.0,0.00933266979800803,0.004124231967006144
A_p90_exclude_summer,100,Viveros,autumn,7,0,0.11468197717368064,0.0,0.007888244459833795,0.0063815340322235506
A_p90_exclude_summer,101,Avda. Francia,autumn,7,0,0.1630341737764753,0.0,0.008870186204700944,0.007802777777777777
A_p90_exclude_summer,101,Moli del Sol,autumn,7,0,0.17871254246008553,0.0,0.009399866483529133,0.005639088911201581
A_p90_exclude_summer,101,Pista Silla,autumn,7,0,0.04330741999951855,0.0,0.009596231390646857,0.009977311408328941
A_p90_exclude_summer,101,Politecnico,autumn,7,0,0.24722116823937643,0.0,0.009509879378605864,0.012298513137546659
A_p90_exclude_summer,101,Valencia Centro,autumn,7,0,0.0865846218983487,0.0,0.009000657462195923,0.0036414982164090373
A_p90_exclude_summer,102,Avda. Francia,autumn,7,0,0.15779301813622965,0.0,0.008818432780287681,0.0076238502479311935
A_p90_exclude_summer,102,Moli del Sol,autumn,7,0,0.15525466849153013,0.0,0.009359492813116892,0.005541564814757802
A_p90_exclude_summer,102,Pista Silla,autumn,7,0,0.049188664434039055,0.0,0.009557753056350477,0.009820631442253064
A_p90_exclude_summer,102,Politecnico,autumn,7,0,0.2630805681140089,0.0,0.009476928453911796,0.012135543632852908
A_p90_exclude_summer,102,Valencia Centro,autumn,7,0,0.07995357502529926,0.0,0.008686052192450939,0.003238812875933637
A_p90_exclude_summer,142,Avda. Francia,autumn,7,0,0.04062048357956109,0.0,0.008615969589266708,0.007402702816663856
A_p90_exclude_summer,142,Bulevard Sud,autumn,7,0,0.12770793091439417,0.0,0.010081715697124051,0.007875602031446188
A_p90_exclude_summer,142,Moli del Sol,autumn,7,0,0.031405116466295534,0.0,0.0084998387625151,0.0047212917309646584
A_p90_exclude_summer,142,Pista Silla,autumn,7,0,0.009815519260605312,0.0,0.00853054070162987,0.009624550558097161
A_p90_exclude_summer,142,Politecnico,autumn,7,0,0.0643158714253938,0.0,0.009156663010493534,0.011930728008483443
