variant,season_or_regime,horizon,n_samples_total,n_positive_total,positive_rate,model_brier_weighted,persistence_brier_weighted,global_climatology_brier_weighted,seasonal_or_regime_climatology_brier_weighted,bss_vs_persistence_weighted,bss_vs_global_climatology_weighted,bss_vs_seasonal_or_regime_climatology_weighted,roc_auc,pr_auc,support_ok,folds_with_positive_events
B_p85_all_seasons,autumn,21,358,44,0.12290502793296089,0.2067992167607344,0.2206703910614525,0.1083762833363977,0.10918507187619518,0.06285924556527955,-0.9081593351825323,-0.894024642812195,0.6099449913144182,0.17372884107220854,True,22
B_p85_all_seasons,autumn,28,365,44,0.12054794520547946,0.21154816556605358,0.22465753424657534,0.1067287523508771,0.10702344509755786,0.0583526776632981,-0.9821103583275896,-0.97665254910469,0.6391248937977911,0.16481262641045794,True,22
B_p85_all_seasons,spring,7,447,47,0.10514541387024609,0.23919194188074086,0.1789709172259508,0.09530218958861937,0.09457731516094887,-0.3364849752586394,-1.509826300038171,-1.529062507998785,0.7023936170212766,0.23187519732654624,True,23
B_p85_all_seasons,spring,14,444,46,0.1036036036036036,0.251147737392413,0.19369369369369369,0.09410657449181642,0.09583051551616555,-0.2966232023515274,-1.6687586786431483,-1.6207491010527555,0.662661131745685,0.21927075548574573,True,22
B_p85_all_seasons,spring,21,448,48,0.10714285714285714,0.24040098300154567,0.20089285714285715,0.09630952017862042,0.09606869820247896,-0.1966626709410273,-1.4961289658144499,-1.502386183009008,0.6599479166666666,0.21781647695809808,True,24
B_p85_all_seasons,spring,28,447,51,0.11409395973154363,0.25112730641245185,0.21700223713646533,0.10128995910426734,0.10400596871667743,-0.15725676253985532,-1.4792912212941336,-1.4145470640877114,0.6431471578530402,0.22420942638081004,True,24
B_p85_all_seasons,summer,7,383,31,0.08093994778067885,0.15595621283235517,0.13054830287206268,0.0782211967099868,0.0750537099383164,-0.19462459029584056,-0.9937845416834903,-1.0779280992309275,0.7330461876832844,0.19039044200465513,True,21
B_p85_all_seasons,summer,14,393,31,0.07888040712468193,0.15626448825875056,0.13994910941475827,0.0767616244861084,0.0729733525371692,-0.11658079792161757,-1.035711064023011,-1.141391108201542,0.7593120655854572,0.29128368696951296,True,20
B_p85_all_seasons,summer,21,386,31,0.08031088082901554,0.17012894507744558,0.13471502590673576,0.07777937479145557,0.07549101917587006,-0.2628802461518076,-1.1873272385333582,-1.2536315833953608,0.7046796910495228,0.19456953429065724,True,21
B_p85_all_seasons,summer,28,392,30,0.07653061224489796,0.167411732534535,0.11734693877551021,0.07513434057514123,0.0725254181624019,-0.42663911203342875,-1.2281653269733286,-1.3083180597409276,0.6910681399631676,0.17181289863169436,True,21
B_p85_all_seasons,winter,7,385,128,0.33246753246753247,0.22697622780703092,0.33246753246753247,0.2571123901290652,0.2562155353763176,0.3172980647991648,0.11721007418937124,0.11411996359370369,0.7051617217898833,0.5393295239565278,True,38
B_p85_all_seasons,winter,14,380,119,0.3131578947368421,0.24177047823283832,0.3605263157894737,0.24348825224475376,0.24478168899392405,0.3293957538067258,0.007054853760208313,0.012301617712754953,0.6609678354100261,0.48519873969672234,True,37
B_p85_all_seasons,winter,21,370,112,0.3027027027027027,0.24692351506595525,0.3216216216216216,0.2361781141342088,0.23781664988028073,0.23225461702181982,-0.04549702232629538,-0.038293640038487675,0.6573228128460686,0.4711012945952673,True,36
B_p85_all_seasons,winter,28,374,110,0.29411764705882354,0.24542907876524978,0.3689839572192513,0.22989798543073015,0.23414226159947735,0.3348516271144679,-0.06755645685811906,-0.04820495492214727,0.6588842975206612,0.49937249753781066,True,35
C_p90_grouped_regimes,cold,7,748,132,0.17647058823529413,0.22218208138585305,0.22192513368983957,0.15207905265733068,0.1520935777624946,-0.0011578125097475578,-0.46096439650029075,-0.4608248727819846,0.7151342975206612,0.3383139051700086,True,51
C_p90_grouped_regimes,cold,14,749,126,0.16822429906542055,0.23437674412639123,0.22963951935914553,0.1455108012921691,0.14569162159599713,-0.02062896134108727,-0.6107171566995186,-0.6087180687460392,0.6719152080307779,0.2885051108638786,True,47
C_p90_grouped_regimes,cold,21,728,120,0.16483516483516483,0.24002705204256944,0.21428571428571427,0.1426622007915152,0.14296232359018696,-0.12012624286532403,-0.6824852743814183,-0.6789532095926643,0.6552494517543859,0.2650919452125946,True,48
C_p90_grouped_regimes,cold,28,739,121,0.16373477672530445,0.23918371738347108,0.2422192151556157,0.141741181306322,0.14249288740474594,0.012532027115166877,-0.6874680680596452,-0.6785660094323045,0.664393270748081,0.28819225675521115,True,50
C_p90_grouped_regimes,warm,7,830,43,0.051807228915662654,0.1851463790289236,0.10120481927710843,0.05088820318192517,0.049081838678194455,-0.8294225546905547,-2.638296647398335,-2.7721972936433295,0.7536715818090483,0.12971672164391299,True,26
C_p90_grouped_regimes,warm,14,837,41,0.04898446833930705,0.19033564882336515,0.10513739545997611,0.048682903542163626,0.048762673319451534,-0.8103515689222345,-2.9097020714575486,-2.903306276430908,0.7359664174531193,0.1152850988560753,True,24
C_p90_grouped_regimes,warm,21,834,45,0.0539568345323741,0.18877005163809643,0.11270983213429256,0.05260039544098792,0.05157967256029595,-0.6748321602784302,-2.5887572717942104,-2.659776075883901,0.6992817912970004,0.11914902204943909,True,26
C_p90_grouped_regimes,warm,28,839,44,0.052443384982121574,0.18884379856702307,0.11323003575685339,0.051375037430964055,0.05040432652561365,-0.6677889157656038,-2.6757890214831406,-2.7465791447696364,0.7096912521440824,0.13823510382457044,True,25
